Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m),TTC (s)
0.0,8.808552074432374,7.056000137329103,7.056000137329103,7.0196021384576595,0.0,0.0,107.0,133.0,114.0,133.42100524902344,2.446820020675659,1.9600000381469729,,,,,1.717825363652256,14.419001274318662
0.05,8.174808311596149,8.820000171661377,7.938000154495238,7.0202840066985575,0.1276656985282898,0.1126999855041504,107.0,133.0,114.0,133.42100524902344,2.2707800865544856,2.450000047683716,-3.5207986824234716,9.800000190734858,,,0.5819302497025705,inf
0.1,4.181039857897076,10.584000205993652,8.820000171661377,7.017772751267666,0.20566119998693466,0.2498999983072281,107.0,133.0,114.0,133.42100524902344,1.1613999605269656,2.940000057220459,-22.1876025205504,9.800000190734863,,,0.0,inf
0.15000000000000002,1.8218554973682368,10.747439861297607,9.301860094070436,7.014247011344667,0.2426491007208824,0.40529029071331024,107.0,133.0,114.0,133.42100524902344,0.5060709714911769,2.9853999614715576,-13.106579780715771,0.9079980850219723,,,0.0,inf
0.2,0.4834584116985098,7.768655776977542,8.995219230651855,7.0127544867413425,0.2559195011854172,0.5298077911138535,107.0,133.0,114.0,133.42100524902344,0.13429400324958604,2.1579599380493173,-7.4355393648318175,-16.54880046844481,,,0.0,inf
0.25,0.2289600133900948,4.8947761058807435,8.311812043190004,7.012793003263235,0.2561644017696381,0.6134719923138618,107.0,133.0,114.0,133.42100524902344,0.06360000371947078,1.3596600294113177,-1.4138799906023056,-15.965998172759996,,,0.0,inf
0.30000000000000004,0.5667335987091697,0.2858883018613525,7.165251508714483,7.013104018670787,0.2624727040529251,0.6421069949865341,107.0,133.0,114.0,133.42100524902344,0.15742599964143603,0.07941341718370902,1.8765199184393033,-25.60493224455215,,,0.010605161071237643,89.88556643162278
0.35000000000000003,0.6878411829473504,1.2601333397479657,6.427111737593668,7.0130667460173175,0.2715299017727375,0.6545059978961945,107.0,133.0,114.0,133.42100524902344,0.19106699526315288,0.3500370388188794,0.6728199124343371,5.412472432703408,,,0.0,inf
0.4,0.6899652242664208,1.8184629654651103,5.915039651801607,7.012938322241437,0.2811941020190716,0.6770130023360252,107.0,133.0,114.0,133.42100524902344,0.19165700674067243,0.5051286015180861,0.011800229550391065,3.101831253984136,,,0.0,inf
0.45,0.6322392046453823,2.0269728720120805,5.526232973822653,7.012796740775572,0.2903391011059284,0.7043372988700867,107.0,133.0,114.0,133.42100524902344,0.17562200129038397,0.5630480200033557,-0.32070010900576934,1.1583883697053923,-0.18666022319892817,,0.0,inf
0.5,0.5494175791744988,1.9688721142311905,5.017520171512863,7.0126960067371265,0.29844460263848305,0.7322819977998734,107.0,133.0,114.0,133.42100524902344,0.15261599421513858,0.5469089206197751,-0.4601201415049079,-0.3227819876716121,-0.2704984060129937,,0.0,inf
0.55,0.4610664188874069,1.7295322128948023,4.308473375636205,7.012652475907284,0.3053380008786917,0.7578397989273071,107.0,133.0,114.0,133.42100524902344,0.12807400524650192,0.4804256146930006,-0.4908397793727327,-1.3296661185354897,-0.35416266352231174,,0.0,inf
0.6000000000000001,0.3774707883596991,1.387136416372912,3.3887869966741304,7.0126542082645145,0.3110362011939287,0.7791418991982937,107.0,133.0,114.0,133.42100524902344,0.10485299676658308,0.3853156712146978,-0.46442016959837645,-1.9021988695660546,-0.38811221719268907,,0.0,inf
0.65,0.3033777683975025,1.00696340226384,2.4147393507707537,7.0126778586295995,0.315649401396513,0.7953073885291815,107.0,133.0,114.0,133.42100524902344,0.08427160233263958,0.27971205618440004,-0.41162788867887046,-2.112072300605958,-0.37780165306699254,,0.0,inf
0.7000000000000001,0.24037128388919896,0.6386228197041549,1.7017360550434155,7.012702431358954,0.3193254014477134,0.8062361981719732,107.0,133.0,114.0,133.42100524902344,0.06676980108033304,0.1773952276955986,-0.3500360250461306,-2.046336569776027,-0.3416035662600178,,0.0,inf
0.75,0.18829296380284108,0.3157479828586212,1.243833242741203,7.012715914727461,0.3222181713208556,0.8123877979815006,107.0,133.0,114.0,133.42100524902344,0.05230360105634474,0.08770777301628367,-0.2893240004797663,-1.793749093586301,-0.29452180819243734,,0.0,inf
0.8,0.14612904042006888,0.05750502296999002,1.2209949148520671,7.012715589057809,0.3244715910404921,0.8145665992051363,107.0,133.0,114.0,133.42100524902344,0.0405914001166858,0.015973617491663896,-0.2342440187931786,-1.4346831104923943,-0.24581951959080897,,0.0008209615300264813,284.7481519482338
0.8500000000000001,0.11253096610391132,0.1299309308164235,1.1079746739589131,7.012704859232395,0.3262123907916248,0.8153951987624168,107.0,133.0,114.0,133.42100524902344,0.03125860169553092,0.03609192522678431,-0.1866559684230974,0.40236615470240794,-0.20047511360313114,,0.00011785827117905624,inf
0.9,0.08609400093558674,0.2480891869571829,0.9509372961081202,7.012689380013796,0.32754780096001923,0.8182500991970301,107.0,133.0,114.0,133.42100524902344,0.023915000259885202,0.06891366304366192,-0.14687202871291458,0.6564347563375531,-0.1607750502463903,,0.0,inf
0.95,0.06549875959755046,0.3060027106067041,0.7788402799675824,7.012674168180238,0.3285660609835759,0.8222384992986917,107.0,133.0,114.0,133.42100524902344,0.01819409988820846,0.08500075294630668,-0.114418007433535,0.3217417980528957,-0.12758133471062896,,0.0,inf
1.0,0.04958892166636727,0.3157817409178542,0.6135312426362488,7.012662243478906,0.32933854102157056,0.8266194993630052,107.0,133.0,114.0,133.42100524902344,0.013774700462879796,0.0877171502549595,-0.0883879885065732,0.05432794617305637,-0.10108386661695773,,0.0,inf
1.05,0.03738563843086103,0.29079330967743583,0.4696573523145122,7.012654546039168,0.32992191798985004,0.8308338299393654,107.0,133.0,114.0,133.42100524902344,0.010384899564128065,0.08077591935484328,-0.06779601797503457,-0.13882461800232437,-0.08089761141495105,,0.0,inf
1.1,0.02807683255523731,0.24392817479563295,0.35533652815678424,7.012650561792696,0.33036076099961065,0.8345057098194957,107.0,133.0,114.0,133.42100524902344,0.0077991201542325864,0.06775782633212026,-0.05171558819790952,-0.2603618604544603,-0.06553865650520163,,0.0,inf
1.15,0.02101680077612624,0.18643326681000105,0.2732835146114003,7.01264911749972,0.3306897020083852,0.8374264996964484,107.0,133.0,114.0,133.42100524902344,0.005838000215590622,0.051787018558333626,-0.03922239877283943,-0.3194161554757337,-0.05226954967462384,,0.0,inf
