Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m),TTC (s)
0.5,0.6321779966357404,2.026972872019429,5.526237014238951,14.00649298722708,0.40284401550889015,0.792537234723568,107.0,133.0,121.0,133.42399597167972,0.17560499906548344,0.5630480200053969,-0.32076001167133555,1.1583883739267578,-0.18667254816434803,,0.0,inf
0.55,0.5493564248088094,1.968872116739347,5.017524212179977,14.006442542044313,0.4109485186636448,0.8204819299280643,107.0,133.0,121.0,133.42399597167972,0.15259900689133596,0.5469089213164853,-0.46011984348294915,-0.322781973778232,-0.2705240753524295,,0.0,inf
0.6000000000000001,0.4610052108765492,1.729535861567718,4.30847778117061,14.006420740700793,0.4178411159664393,0.8460397310554981,107.0,133.0,121.0,133.42399597167972,0.12805700302126366,0.480426628213255,-0.49084007740144553,-1.3296458620646046,-0.3541684797027131,,0.0,inf
0.65,0.3774203896523137,1.3871400696923215,3.3887917675404764,14.006421604241874,0.4235386177897453,0.8673418313264847,107.0,133.0,121.0,133.42399597167972,0.1048389971256427,0.38531668602564484,-0.46436011791241993,-1.9021988437522055,-0.3880974932485044,,0.0,inf
0.7000000000000001,0.303334558010137,1.0069669479663872,2.4147444762073533,14.006433443892455,0.42815121728926897,0.8835074603557587,107.0,133.0,121.0,133.42399597167972,0.08425959944726027,0.2797130411017742,-0.411587953567648,-2.112072898477411,-0.37777474794249155,,0.0,inf
0.75,0.24033349156381226,0.6386228208463041,1.701741180594229,14.006445746745882,0.4318266166374087,0.8944362299516797,107.0,133.0,121.0,133.42399597167972,0.06675930321217007,0.17739522801286223,-0.35000592470180464,-2.046356261778242,-0.34157155958950075,,0.0,inf
0.8,0.18825767934328444,0.3157469204047876,1.2438346571577177,14.006452498128052,0.4347190372645855,0.9005879303440452,107.0,133.0,121.0,133.42399597167972,0.052293799817579006,0.08770747789021877,-0.2893100678918209,-1.7937550024528677,-0.2944885975806207,,0.0,inf
0.8500000000000001,0.14610563814657646,0.05750393185031396,1.2209961493279131,14.006452335600104,0.4369721170514822,0.9027666309848428,107.0,133.0,121.0,133.42399597167972,0.04058489948516013,0.015973314402864987,-0.23417800664837737,-1.4346832697470744,-0.2457873210678878,,0.0008206879077430043,568.868831506378
0.9,0.1125111579895182,0.12993202109928312,1.1079756526898508,14.006446964361885,0.4387126467190683,0.9035951318219304,107.0,133.0,121.0,133.42399597167972,0.03125309944153283,0.0360922280831342,-0.1866360008725462,0.40237827360538475,-0.20044572537130884,,0.00011766800189924191,inf
0.95,0.08607959747351146,0.2480902631470129,0.9509383825332908,14.006439214727244,0.4400478268507868,0.9064501309767364,107.0,133.0,121.0,133.42399597167972,0.02391099929819763,0.06891396198528137,-0.14684200286670424,0.6564346780429442,-0.16074981676798722,,0.0,inf
