Time (s),Ego Speed (km/h),Ego Speed (m/s),Lead Speed (km/h),Smoothed Lead Speed (m/s),Smoothed Lead Speed (km/h),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Distance Between (m),Lead Braking Distance (m),Braking Phase,Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),,,,,Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
17.4,35.39,9.83,13.91,4.85,17.46,-1.07,-4.338,102.16,109.41,32.81,,,209.14,133.59,241.96,133.48,,,,,9.84,0,-1.593,0,1.593,23.682,40.5
17.45,35.2,9.78,13.12,4.63,16.68,-1.074,-4.353,102.65,109.62,32.54,,,209.63,133.59,242.17,133.48,,,,,9.8,0.02,-0.8,0.397,0.893,-14.009,40.67
17.5,35.01,9.73,12.33,4.41,15.89,-1.043,-4.37,103.14,109.82,32.25,,,210.12,133.59,242.37,133.48,,,,,9.74,0,-1.202,-0.397,1.266,7.472,40.82
17.55,34.85,9.68,11.54,4.19,15.1,-0.909,-4.385,103.62,110.02,31.96,,,210.61,133.59,242.56,133.48,,,,,9.7,0,-0.8,0,0.8,-9.332,41
17.6,34.72,9.64,10.75,3.97,14.31,-0.73,-4.391,104.1,110.2,31.66,,,211.09,133.59,242.74,133.48,,,,,9.64,0,-1.202,0,1.202,8.057,41.25
17.65,34.62,9.62,9.95,3.75,13.52,-0.557,-4.395,104.59,110.37,31.34,,,211.57,133.59,242.91,133.48,,,,,9.64,0,0.006,0,0.006,-23.926,41.55
17.7,34.54,9.59,9.16,3.54,12.73,-0.429,-4.395,105.07,110.52,31.02,,,212.05,133.6,243.07,133.48,,,,,9.6,0.02,-0.806,0.403,0.901,17.893,41.88
17.75,34.47,9.58,8.37,3.31,11.93,-0.374,-4.413,105.54,110.67,30.69,,,212.53,133.6,243.22,133.48,,,,,9.58,0,-0.397,-0.403,0.565,-6.707,42.2
17.8,34.44,9.57,7.58,3.09,11.14,-0.164,-4.393,106.02,110.81,30.35,,,213.01,133.6,243.35,133.48,,,,,9.56,0,-0.403,0,0.403,-3.251,42.59
17.85,34.41,9.56,6.8,2.88,10.35,-0.166,-4.391,106.5,110.93,29.99,,,213.49,133.6,243.48,133.48,,,,,9.58,0,0.397,0,0.397,-0.122,42.95
17.9,34.38,9.55,6.02,2.66,9.56,-0.166,-4.385,106.98,111.04,29.63,,,213.96,133.6,243.59,133.48,,,,,9.54,0,-0.793,0,0.793,7.935,43.27
17.95,34.35,9.54,5.24,2.44,8.77,-0.165,-4.378,107.46,111.15,29.26,,,214.44,133.6,243.7,133.48,,,,,9.56,0.02,0.397,0.397,0.561,-4.648,43.57
18,34.32,9.53,4.46,2.22,7.99,-0.165,-4.368,107.93,111.24,28.87,,,214.92,133.6,243.79,133.48,,,,,9.52,0,-0.793,-0.397,0.887,6.521,43.83
18.05,34.29,9.53,3.7,2,7.2,-0.165,-4.356,108.41,111.32,28.48,,,215.39,133.6,243.87,133.48,,,,,9.54,0,0.391,0,0.391,-9.93,44.05
18.1,34.26,9.52,2.93,1.78,6.42,-0.165,-4.341,108.89,111.39,28.07,,,215.87,133.6,243.94,133.48,,,,,9.52,0,-0.397,0,0.397,0.122,44.25
18.15,34.23,9.51,2.18,1.57,5.64,-0.165,-4.318,109.36,111.45,27.65,,,216.35,133.6,244,133.48,,,,,9.52,0.02,0,0.403,0.403,0.122,44.41
18.2,34.2,9.5,0.59,1.33,4.79,-0.164,-4.764,109.84,111.46,27.18,,,216.82,133.6,244,133.48,,,,,9.5,0,-0.397,-0.403,0.565,3.251,44.56
18.25,34.17,9.49,0.83,1.12,4.03,-0.164,-4.192,110.31,111.47,26.71,,,217.3,133.6,244.01,133.48,,,,,9.5,0,0,0,0,-11.308,44.66
18.3,32.75,9.1,0.92,0.93,3.37,-7.889,-3.705,110.78,111.48,26.25,,,217.76,133.6,244.01,133.48,,,,,9.28,0,-4.407,0,4.407,88.135,41.12
18.35,31.35,8.71,0.89,0.77,2.77,-7.785,-3.283,111.22,111.49,25.81,,,218.2,133.6,244.01,133.48,,,,,8.84,0,-8.795,0,8.795,87.769,37.74
18.4,30.07,8.35,0.78,0.63,2.25,-7.138,-2.908,111.64,111.5,25.39,,,218.63,133.6,244.02,133.48,,,,,8.5,0.02,-6.799,0.403,6.811,-39.679,34.77
18.45,28.8,8,0.63,0.5,1.79,-7.045,-2.559,112.05,111.51,24.99,,,219.03,133.6,244.02,133.48,,,,,8.12,0,-7.599,-0.403,7.61,15.966,31.93
18.5,27.57,7.66,0.46,0.39,1.39,-6.818,-2.223,112.44,111.51,24.6,,,219.42,133.6,244.02,133.48,,,,,7.78,0,-6.805,0,6.805,-16.083,29.3
18.55,26.53,7.37,0.3,0.29,1.05,-5.779,-1.886,112.81,111.52,24.23,,,219.8,133.6,244.03,133.48,,,,,7.48,0,-5.994,0,5.994,-16.235,27.15
18.6,25.86,7.18,0.16,0.21,0.77,-3.742,-1.54,113.17,111.52,23.87,,,220.16,133.6,244.03,133.48,,,,,7.24,0,-4.803,0,4.803,-23.804,25.8
18.65,25.53,7.09,0.06,0.16,0.56,-1.851,-1.176,113.53,111.52,23.52,,,220.51,133.6,244.03,133.48,,,,,7.12,0,-2.399,0,2.399,-48.096,25.14
18.7,25.44,7.07,0.07,0.14,0.51,-0.503,-0.285,113.88,111.52,23.16,,,220.87,133.6,244.03,133.48,,,,,7.08,0.02,-0.806,0.397,0.898,-30.013,24.97
18.75,25.39,7.05,0.12,0.12,0.44,-0.228,-0.396,114.24,111.53,22.81,,,221.22,133.6,244.03,133.48,,,,,7.06,0,-0.397,-0.397,0.561,-6.74,24.89
18.8,25.3,7.03,0.14,0.1,0.36,-0.527,-0.432,114.59,111.53,22.46,,,221.57,133.6,244.03,133.48,,,,,7.04,0,-0.397,0,0.397,-3.287,24.7
18.85,25.07,6.96,0.14,0.08,0.29,-1.3,-0.414,114.94,111.53,22.11,,,221.92,133.6,244.03,133.48,,,,,7,0,-0.8,0,0.8,8.057,24.25
18.9,24.65,6.85,0.13,0.06,0.22,-2.324,-0.361,115.28,111.53,21.76,,,222.27,133.6,244.03,133.48,,,,,6.9,0,-2.002,0,2.002,24.048,23.45
18.95,24.06,6.68,0.11,0.05,0.17,-3.236,-0.289,115.62,111.53,21.43,,,222.61,133.6,244.03,133.48,,,,,6.76,0.02,-2.802,0.403,2.83,16.567,22.35
19,23.37,6.49,0.08,0.04,0.13,-3.866,-0.211,115.95,111.53,21.1,,,222.93,133.6,244.03,133.48,,,,,6.58,0,-3.601,-0.403,3.624,15.864,21.08
19.05,22.59,6.27,0.06,0.03,0.11,-4.326,-0.135,116.27,111.53,20.78,,,223.25,133.6,244.03,133.48,,,,,6.36,0,-4.395,0,4.395,15.42,19.7
19.1,21.78,6.05,0.03,0.03,0.1,-4.508,-0.071,116.58,111.54,20.47,,,223.56,133.6,244.03,133.48,,,,,6.14,0,-4.407,0,4.407,0.244,18.31
19.15,20.97,5.83,0.01,0.03,0.09,-4.478,-0.028,116.87,111.54,20.18,,,223.85,133.6,244.03,133.48,,,,,5.9,0,-4.797,0,4.797,7.812,16.98
19.2,20.23,5.62,0.01,0.02,0.08,-4.098,-0.037,117.16,111.54,19.89,,,224.14,133.6,244.03,133.48,,,,,5.7,0.02,-3.998,0.397,4.017,-15.598,15.81
19.25,19.54,5.43,0.01,0.02,0.07,-3.877,-0.056,117.43,111.54,19.62,,,224.41,133.6,244.03,133.48,,,,,5.5,0,-4.004,-0.397,4.024,0.121,14.74
19.3,18.92,5.26,0.02,0.02,0.06,-3.407,-0.066,117.7,111.54,19.35,,,224.68,133.6,244.03,133.48,,,,,5.32,0,-3.595,0,3.595,-8.571,13.83
19.35,18.42,5.12,0,0.01,0.05,-2.819,-0.079,117.96,111.54,19.09,,,224.94,133.6,244.03,133.48,,,,,5.18,0,-2.802,0,2.802,-15.869,13.09
19.4,18.01,5,0,0.01,0.03,-2.233,-0.073,118.21,111.54,18.84,,,225.19,133.6,244.03,133.48,,,,,5.04,0,-2.802,0,2.802,0,12.53
19.45,17.73,4.92,0,0.01,0.02,-1.588,-0.061,118.46,111.54,18.59,,,225.44,133.6,244.03,133.48,,,,,4.96,0,-1.599,0,1.599,-24.048,12.14
19.5,17.55,4.87,0,0,0.01,-1.016,-0.047,118.7,111.54,18.35,,,225.68,133.6,244.03,133.48,,,,,4.9,0,-1.202,0,1.202,-7.935,11.89
19.55,17.37,4.83,0,0,0.01,-0.948,-0.032,118.94,111.54,18.1,,,225.93,133.6,244.03,133.48,,,,,4.84,0.02,-1.196,0.403,1.262,1.198,11.66
19.6,17.14,4.76,0,0,0.01,-1.318,-0.019,119.18,111.54,17.86,,,226.17,133.6,244.03,133.48,,,,,4.8,0,-0.8,-0.403,0.895,-7.34,11.34
19.65,16.78,4.66,0,0,0,-1.96,-0.007,119.42,111.54,17.63,,,226.4,133.6,244.03,133.48,,,,,4.7,0,-2.008,0,2.008,22.255,10.88
19.7,16.33,4.54,0,0,0,-2.538,-0.003,119.65,111.54,17.4,,,226.63,133.6,244.03,133.48,,,,,4.6,0,-1.99,0,1.99,-0.366,10.29
19.75,15.78,4.38,0,0,0,-3.028,-0.008,119.87,111.54,17.18,,,226.85,133.6,244.03,133.48,,,,,4.44,0,-3.204,0,3.204,24.292,9.62
19.8,15.2,4.22,0,0,0,-3.254,-0.011,120.08,111.54,16.96,27.17,END,227.07,133.6,244.03,133.48,,,,,4.28,0,-3.204,0,3.204,0,8.92
19.85,14.61,4.06,0,0,0,-3.28,0,120.29,111.54,16.76,,,227.27,133.6,244.03,133.48,,,,,4.12,0,-3.192,0,3.192,-0.244,8.24
19.9,14.07,3.91,0,0,0,-2.962,0,120.49,111.54,16.56,,,227.47,133.6,244.03,133.48,,,,,3.98,0,-2.802,0,2.802,-7.812,7.65
19.95,13.7,3.8,0,0,0,-2.093,0,120.68,111.54,16.37,,,227.66,133.6,244.03,133.48,,,,,3.84,0,-2.808,0,2.808,0.122,7.25
20,13.42,3.73,0,0,0,-1.519,0,120.87,111.54,16.18,,,227.85,133.6,244.03,133.48,,,,,3.76,0,-1.593,0,1.593,-24.292,6.96
20.05,13.18,3.66,0,0,0,-1.372,0,121.05,111.54,15.99,,,228.04,133.6,244.03,133.48,,,,,3.68,0.02,-1.599,0.397,1.648,1.092,6.71
20.1,12.96,3.6,0,0,0,-1.224,0,121.23,111.54,15.81,,,228.22,133.6,244.03,133.48,,,,,3.62,0,-1.202,-0.397,1.266,-7.629,6.48
20.15,12.75,3.54,0,0,0,-1.126,0,121.41,111.54,15.63,,,228.4,133.6,244.03,133.48,,,,,3.58,0,-0.8,0,0.8,-9.332,6.28
20.2,12.56,3.49,0,0,0,-1.067,0,121.59,111.54,15.46,,,228.57,133.6,244.03,133.48,,,,,3.5,0,-1.599,0,1.599,15.991,6.09
20.25,12.38,3.44,0,0,0,-1.031,0,121.76,111.54,15.29,,,228.74,133.6,244.03,133.48,,,,,3.46,0,-0.806,0,0.806,-15.869,5.92
20.3,12.2,3.39,0,0,0,-1.002,0,121.93,111.54,15.11,,,228.92,133.6,244.03,133.48,,,,,3.42,0,-0.793,0,0.793,-0.244,5.74
20.35,12.02,3.34,0,0,0,-0.966,0,122.1,111.54,14.95,,,229.08,133.6,244.03,133.48,,,,,3.36,0,-1.202,0,1.202,8.179,5.58
20.4,11.87,3.3,0,0,0,-0.817,0,122.26,111.54,14.78,,,229.25,133.6,244.03,133.48,,,,,3.3,0,-1.202,0,1.202,0,5.45
20.45,11.75,3.26,0,0,0,-0.695,0,122.43,111.54,14.62,,,229.41,133.6,244.03,133.48,,,,,3.28,0,-0.397,0,0.397,-16.113,5.33
20.5,11.62,3.23,0,0,0,-0.701,0,122.59,111.54,14.45,,,229.58,133.6,244.03,133.48,,,,,3.26,0,-0.397,0,0.397,0,5.22
20.55,11.5,3.19,0,0,0,-0.674,0,122.75,111.54,14.29,,,229.74,133.6,244.03,133.48,,,,,3.2,0,-1.208,0,1.208,16.235,5.11
20.6,11.39,3.16,0,0,0,-0.632,0,122.91,111.54,14.14,,,229.9,133.6,244.03,133.48,,,,,3.18,0,-0.391,0,0.391,-16.357,5.01
20.65,11.3,3.14,0,0,0,-0.504,0,123.07,111.54,13.98,,,230.05,133.6,244.03,133.48,,,,,3.14,0,-0.806,0,0.806,8.301,4.93
20.7,11.23,3.12,0,0,0,-0.398,0,123.22,111.54,13.82,,,230.21,133.6,244.03,133.48,,,,,3.14,0,0,0,0,-16.113,4.87
20.75,11.16,3.1,0,0,0,-0.378,0,123.38,111.54,13.67,,,230.36,133.6,244.03,133.48,,,,,3.1,0,-0.8,0,0.8,15.991,4.81
20.8,11.1,3.08,0,0,0,-0.346,0,123.53,111.54,13.51,,,230.52,133.6,244.03,133.48,,,,,3.1,0.02,0,0.403,0.403,-7.935,4.76
20.85,11.04,3.07,0,0,0,-0.323,0,123.69,111.54,13.36,,,230.67,133.6,244.03,133.48,,,,,3.06,0,-0.8,-0.403,0.895,9.849,4.71
20.9,10.97,3.05,0,0,0,-0.397,0,123.84,111.54,13.21,,,230.82,133.6,244.03,133.48,,,,,3.06,0,0,0,0,-17.906,4.65
20.95,10.87,3.02,0,0,0,-0.559,0,123.99,111.54,13.05,,,230.98,133.6,244.03,133.48,,,,,3.04,0,-0.397,0,0.397,7.935,4.56
21,10.74,2.98,0,0,0,-0.716,0,124.14,111.54,12.9,,,231.13,133.6,244.03,133.48,,,,,2.98,0,-1.202,0,1.202,16.113,4.45
21.05,10.59,2.94,0,0,0,-0.836,0,124.29,111.54,12.76,,,231.27,133.6,244.03,133.48,,,,,2.96,0,-0.403,0,0.403,-15.991,4.33
21.1,10.42,2.9,0,0,0,-0.899,0,124.44,111.54,12.61,,,231.42,133.6,244.03,133.48,,,,,2.92,0,-0.8,0,0.8,7.935,4.2
21.15,10.28,2.85,0,0,0,-0.813,0,124.58,111.54,12.47,,,231.56,133.6,244.03,133.48,,,,,2.86,0,-1.196,0,1.196,7.935,4.08
21.2,10.15,2.82,0,0,0,-0.731,0,124.72,111.54,12.33,,,231.71,133.6,244.03,133.48,,,,,2.84,0,-0.403,0,0.403,-15.869,3.98
21.25,10.01,2.78,0,0,0,-0.756,0,124.86,111.54,12.19,,,231.85,133.6,244.03,133.48,,,,,2.8,0,-0.8,0,0.8,7.935,3.87
21.3,9.87,2.74,0,0,0,-0.761,0,125,111.54,12.05,,,231.98,133.6,244.03,133.48,,,,,2.76,0,-0.8,0,0.8,0,3.77
21.35,9.74,2.7,0,0,0,-0.766,0,125.13,111.54,11.91,,,232.12,133.6,244.03,133.48,,,,,2.72,0,-0.8,0,0.8,0,3.66
21.4,9.6,2.67,0,0,0,-0.77,0,125.27,111.54,11.78,,,232.25,133.6,244.03,133.48,,,,,2.68,0,-0.8,0,0.8,0,3.56
21.45,9.46,2.63,0,0,0,-0.774,0,125.4,111.54,11.65,,,232.38,133.6,244.03,133.48,,,,,2.64,0,-0.806,0,0.806,0.122,3.46
21.5,9.32,2.59,0,0,0,-0.781,0,125.53,111.54,11.52,,,232.51,133.6,244.03,133.48,,,,,2.6,0,-0.793,0,0.793,-0.244,3.35
21.55,9.17,2.55,0,0,0,-0.792,0,125.66,111.54,11.39,,,232.64,133.6,244.03,133.48,,,,,2.56,0,-0.8,0,0.8,0.122,3.25
21.6,9.03,2.51,0,0,0,-0.805,0,125.79,111.54,11.26,,,232.77,133.6,244.03,133.48,,,,,2.54,0,-0.403,0,0.403,-7.935,3.15
21.65,8.88,2.47,0,0,0,-0.82,0,125.91,111.54,11.14,,,232.89,133.6,244.03,133.48,,,,,2.48,0,-1.202,0,1.202,15.991,3.05
21.7,8.73,2.43,0,0,0,-0.837,0,126.03,111.54,11.01,,,233.02,133.6,244.03,133.48,,,,,2.44,0,-0.793,0,0.793,-8.179,2.95
21.75,8.59,2.39,0,0,0,-0.761,0,126.15,111.54,10.89,,,233.14,133.6,244.03,133.48,,,,,2.4,0,-0.806,0,0.806,0.244,2.85
21.8,8.46,2.35,0,0,0,-0.747,0,126.27,111.54,10.78,,,233.25,133.6,244.03,133.48,,,,,2.36,0.02,-0.8,0.397,0.893,1.738,2.77
21.85,8.31,2.31,0,0,0,-0.854,0,126.39,111.54,10.66,,,233.37,133.6,244.03,133.48,,,,,2.32,0,-0.8,-0.397,0.893,0,2.67
21.9,8.14,2.26,0,0,0,-0.937,0,126.5,111.54,10.55,,,233.48,133.6,244.03,133.48,,,,,2.28,0,-0.8,0,0.8,-1.86,2.56
21.95,7.98,2.22,0,0,0,-0.893,0,126.61,111.54,10.43,,,233.6,133.6,244.03,133.48,,,,,2.24,0,-0.8,0,0.8,0,2.46
22,7.83,2.18,0,0,0,-0.792,0,126.72,111.54,10.33,,,233.71,133.6,244.03,133.48,,,,,2.18,0,-1.196,0,1.196,7.935,2.37
22.05,7.68,2.13,0,0,0,-0.869,0,126.83,111.54,10.22,,,233.81,133.6,244.03,133.48,,,,,2.16,0,-0.403,0,0.403,-15.869,2.28
22.1,7.49,2.08,0,0,0,-1.03,0,126.93,111.54,10.11,,,233.92,133.6,244.03,133.48,,,,,2.1,0,-1.202,0,1.202,15.991,2.17
22.15,7.29,2.02,0,0,0,-1.141,0,127.04,111.54,10.01,,,234.02,133.6,244.03,133.48,,,,,2.04,0,-1.196,0,1.196,-0.122,2.05
22.2,7.08,1.97,0,0,0,-1.142,0,127.14,111.54,9.91,,,234.12,133.6,244.03,133.48,,,,,2,0,-0.806,0,0.806,-7.812,1.94
22.25,6.86,1.91,0,0,0,-1.21,0,127.23,111.54,9.81,,,234.22,133.6,244.03,133.48,,,,,1.92,0,-1.593,0,1.593,15.747,1.82
22.3,6.64,1.85,0,0,0,-1.225,0,127.33,111.54,9.72,,,234.31,133.6,244.03,133.48,,,,,1.88,0,-0.806,0,0.806,-15.747,1.71
22.35,6.45,1.79,0,0,0,-1.089,0,127.42,111.54,9.63,,,234.4,133.6,244.03,133.48,,,,,1.8,0,-1.599,0,1.599,15.869,1.61
22.4,6.24,1.73,0,0,0,-1.165,0,127.5,111.54,9.54,,,234.49,133.6,244.03,133.48,,,,,1.76,0,-0.793,0,0.793,-16.113,1.5
22.45,6,1.67,0,0,0,-1.335,0,127.59,111.54,9.46,,,234.57,133.6,244.03,133.48,,,,,1.7,0,-1.208,0,1.208,8.301,1.39
22.5,5.74,1.59,0,0,0,-1.426,0,127.67,111.54,9.38,,,234.65,133.6,244.03,133.48,,,,,1.62,0,-1.593,0,1.593,7.69,1.27
22.55,5.56,1.55,0,0,0,-0.985,0,127.75,111.54,9.3,,,234.73,133.6,244.03,133.48,,,,,1.56,0,-1.208,0,1.208,-7.69,1.2
22.6,5.19,1.44,0,0,0,-2.052,0,127.82,111.54,9.22,,,234.81,133.6,244.03,133.48,,,,,1.48,0,-1.593,0,1.593,7.69,1.04
22.65,4.74,1.32,0,0,0,-2.508,0,127.89,111.54,9.16,,,234.88,133.6,244.03,133.48,,,,,1.38,0,-2.002,0,2.002,8.179,0.87
22.7,4.25,1.18,0,0,0,-2.735,0,127.95,111.54,9.09,,,234.94,133.6,244.03,133.48,,,,,1.22,0,-3.198,0,3.198,23.926,0.7
22.75,3.73,1.04,0,0,0,-2.887,0,128.01,111.54,9.04,,,234.99,133.6,244.03,133.48,,,,,1.1,0,-2.405,0,2.405,-15.869,0.54
22.8,3.2,0.89,0,0,0,-2.931,0,128.05,111.54,8.99,,,235.04,133.6,244.03,133.48,,,,,0.94,0,-3.198,0,3.198,15.869,0.4
22.85,2.78,0.77,0,0,0,-2.335,0,128.09,111.54,8.95,,,235.08,133.6,244.03,133.48,,,,,0.82,0,-2.399,0,2.399,-15.991,0.3
22.9,0.7,0.19,0,0,0,-11.562,0,128.11,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0.4,0,-8.398,0,8.398,119.995,0.02
22.95,0,0,0,0,0,-3.871,0,128.11,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,-8.002,0,8.002,-7.935,0
23,0,0,0,0,0,-0.021,0,128.11,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,-160.034,0
23.05,0,0,0,0,0,0.01,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.1,0,0,0,0,0,0.007,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.15,0,0,0,0,0,0.003,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.2,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0.02,0,0.403,0,0.403,8.057,0
23.25,0,0,0,0,0,-0.001,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,-0.403,0,0.403,0,0
23.3,0,0,0,0,0,-0.002,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,-8.057,0
23.35,0,0,0,0,0,-0.002,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.4,0,0,0,0,0,-0.003,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.45,0,0,0,0,0,-0.002,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.5,0,0,0,0,0,-0.002,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0.02,0,0.397,0,0.397,7.935,0
23.55,0,0,0,0,0,-0.002,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,-0.397,0,0.397,0,0
23.6,0,0,0,0,0,-0.006,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,-7.935,0
23.65,0,0,0,0,0,0.001,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.7,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.75,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.8,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.85,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.9,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
23.95,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.05,0,0,0,0,0,-0.001,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.1,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.15,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.2,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.25,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.3,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.35,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.4,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.45,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.5,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.55,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.6,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.65,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.7,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.75,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.8,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.85,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.9,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
24.95,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.05,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.1,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.15,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.2,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.25,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.3,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.35,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.4,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.45,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.5,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.55,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.6,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.65,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.7,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.75,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
25.8,0,0,0,0,0,0,0,128.12,111.54,8.93,,,235.1,133.6,244.03,133.48,,,,,0,0,0,0,0,0,0
